# The babadook

('kent', -0.71742659404850362)
('disturbing', -0.71742659404850362)
('protagonist', -0.71742659404850362)
('hatter', -0.71742659404850362)
('terrifying', -0.71742659404850362)
('grudge', -0.71742659404850362)
('signal', -0.71742659404850362)
('delta', -0.71742659404850362)
('cynthia', -0.71742659404850362)
('cinematography', -0.71742659404850362)
('approach', -0.71742659404850362)
('sigue', -0.71742659404850362)
('bump', -0.71742659404850362)
('darkness', -0.75038184694670995)
('filme', -0.75038184694670995)
('seat', -0.75038184694670995)
('youtuber', -0.75038184694670995)
('anxiety', -0.82867758429475302)
('review', -0.82867758429475302)
('davis', -0.90536056235530482)
('knock', -1.0932609683218695)
('shout', -1.2980311398393376)
('boot', -1.4348531880970072)
('baba', -1.7658389665825933)
('cesar', -1.8141385599961426)
('ceiling', -1.8141385599961426)
('exorcist', -1.8141385599961426)
('reel', -1.8141385599961426)
('rotten', -1.8141385599961426)
('reaction', -1.945435745179912)
('basement', -2.1093837750859414)
('grief', -2.3279394720846556)
('jerry', -2.3397268078942246)
('illness', -2.3397268078942246)
('twist', -2.3397268078942246)
('scary', -2.5231327859140418)
('shining', -3.1917570817063852)
('carson', -3.1917570817063852)
('hugh', -3.1917570817063852)
('wager', -3.1917570817063852)
('parece', -3.1917570817063852)
('tension', -3.1917570817063852)
('scare', -4.8931095356543723)
('monster', -7.139980084445261)
('suspense', -8.5010692956090814)
('depression', -18.375493671082662)
('dook', -54.324267490549431)
('horror', -125.87852475661268)
('quot', -162.78430523813978)
('babadook', -282.00325125812509)



# Titanic

('stern', -0.71478036807220802)
('fic', -0.71478036807220802)
('fin', -0.71478036807220802)
('soda', -0.71478036807220802)
('approach', -0.71478036807220802)
('anche', -0.71478036807220802)
('boiler', -0.71478036807220802)
('berg', -0.71478036807220802)
('realty', -0.71478036807220802)
('paramount', -0.71478036807220802)
('tracy', -0.71478036807220802)
('hoje', -0.71478036807220802)
('heroine', -0.71478036807220802)
('salga', -0.71478036807220802)
('tellement', -0.71478036807220802)
('messenger', -0.71478036807220802)
('elite', -0.71478036807220802)
('kity', -0.71478036807220802)
('movi', -0.71478036807220802)
('parte', -0.71478036807220802)
('apollo', -0.71478036807220802)
('ikr', -0.74778153059682817)
('buena', -0.74778153059682817)
('perch', -0.74778153059682817)
('surface', -0.74778153059682817)
('jesse', -0.74778153059682817)
('honour', -0.82612317757128417)
('remix', -0.82612317757128417)
('bay', -0.90285206525824868)
('drama', -0.90285206525824868)
('captain', -1.292830507139574)
('sink', -1.292830507139574)
('honor', -1.3067863930843719)
('ice', -1.3409644348233021)
('mary', -1.429560736144416)
('editor', -1.8088001984171385)
('walking', -1.8088001984171385)
('seu', -1.8088001984171385)
('martinez', -1.8088001984171385)
('cody', -1.8088001984171385)
('bosta', -1.8088001984171385)
('asylum', -1.8088001984171385)
('olympic', -2.0005000679907328)
('dicaprio', -2.2332343187405348)
('server', -2.3317422203389242)
('tit', -2.5125478820088594)
('deo', -2.5125478820088594)
('ghz', -3.1837265845246714)
('canon', -4.6513550015591507)
('belle', -4.7790552492791241)
('frost', -4.877094450917359)
('steve', -5.0366627530753654)
('gta', -6.5553280522803403)
('tsunami', -6.5553280522803403)
('filme', -7.5078575500313152)
('deck', -9.0021502034465808)
('amp', -10.787214884211419)
('sinking', -11.32275489458106)
('ocean', -11.685454659336026)
('wreck', -12.727759301211295)
('minion', -12.727759301211295)
('leo', -12.727759301211295)
('leonardo', -14.263676401674493)
('sank', -15.013014064361101)
('trevor', -39.088133624326893)
('ship', -60.466573418426918)
('quot', -68.019740930297502)
('jack', -122.43975532286163)
('titanic', -653.8034056063442)




The sixth sense

('culkin', -0.72183367668553844)
('avail', -0.72183367668553844)
('suspense', -0.72183367668553844)
('jaws', -0.72183367668553844)
('jongen', -0.72183367668553844)
('doorknob', -0.72183367668553844)
('oke', -0.72183367668553844)
('premise', -0.72183367668553844)
('shane', -0.72183367668553844)
('hall', -0.75472898359559515)
('chloe', -0.75472898359559515)
('evan', -0.75472898359559515)
('donnie', -0.83296477495548815)
('haley', -0.97902195926891844)
('split', -1.3193559596310036)
('happening', -1.4436673533710769)
('twilight', -1.4436673533710769)
('hij', -1.4436673533710769)
('icy', -1.8230126712583616)
('nana', -1.8230126712583616)
('crow', -1.8230126712583616)
('ghost', -2.3265889165190687)
('dimension', -3.2050982215937891)
('shyamalan', -3.3343232043470463)
('spoiler', -3.4940138433273926)
